dob,photo_taken,full_path,gender,name,face_location,face_score
714186,2013,00/nm0000200_rm2382093056_1955-5-17_2013.jpg,1.0,Bill Paxton,[ 405.46940136  405.46940136 1129.57992382 1129.57992382],5.902054377363969
714186,2009,00/nm0000200_rm2556136960_1955-5-17_2009.jpg,1.0,Bill Paxton,[ 21.89984147  85.85936587 213.19841469 277.15793909],5.48468172300207
714186,2014,00/nm0000200_rm4241021696_1955-5-17_2014.jpg,1.0,Bill Paxton,[305.66292148 329.07045391 514.96571328 538.3732457 ],5.18448882213527
717405,2014,00/nm0000300_rm1354223360_1964-3-9_2014.jpg,0.0,Juliette Binoche,[ 460.8    395.264 1048.576  983.04 ],5.895285768569584
717405,2002,00/nm0000300_rm1650694912_1964-3-9_2002.jpg,0.0,Juliette Binoche,[ 24.81072131  97.52088522 242.36721305 315.07737697],6.559653955269264
717405,2002,00/nm0000300_rm1667472128_1964-3-9_2002.jpg,0.0,Juliette Binoche,[ 94.83471798  71.27553848 306.26933342 282.71015393],5.386173186896635
717405,2002,00/nm0000300_rm1684249344_1964-3-9_2002.jpg,0.0,Juliette Binoche,[ 47.64043394  79.05005657 188.45773576 219.86735839],5.383362447803502
717405,2002,00/nm0000300_rm1732549120_1964-3-9_2002.jpg,0.0,Juliette Binoche,[100.746  75.69  175.392 150.336],5.489181698674035
717405,2006,00/nm0000300_rm2289670656_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 64.60241627  43.23694418 160.24104068 138.87556859],5.139907709410037
717405,2006,00/nm0000300_rm2306447872_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 95.20408081  74.16628507 189.34016162 168.30236588],5.255517542128048
717405,2006,00/nm0000300_rm3293879040_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 54.68727002  81.75190503 175.92012758 202.98476259],5.107036770668223
717405,2006,00/nm0000300_rm3344210688_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 92.12852917  92.12852917 209.2583524  209.2583524 ],5.816383638904783
717405,2006,00/nm0000300_rm3784809216_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 37.02374285  91.76135713 200.70458569 255.44219997],5.897380980057232
717405,2006,00/nm0000300_rm3801586432_1964-3-9_2006.jpg,0.0,Juliette Binoche,[ 71.24244858  99.52182801 197.95565602 226.23503545],5.827896217180947
717405,2014,00/nm0000300_rm4189572864_1964-3-9_2014.jpg,0.0,Juliette Binoche,[ 747.29282267  534.36573048 1224.33078009 1011.4036879 ],5.499123059778167
717405,2014,00/nm0000300_rm837469952_1964-3-9_2014.jpg,0.0,Juliette Binoche,[ 317.35787432  632.69374865 1261.34349729 1576.67937162],5.494836737527554
716087,2008,00/nm0000500_rm314545152_1960-7-30_2008.jpg,1.0,Richard Linklater,[ 54.32  72.24 215.04 232.96],5.400155259902972
716087,2013,00/nm0000500_rm3369969152_1960-7-30_2013.jpg,1.0,Richard Linklater,[491.37512006 227.89128618 828.09204932 564.60821545],5.244806170172454
716087,2013,00/nm0000500_rm4136157696_1960-7-30_2013.jpg,1.0,Richard Linklater,[180.14233438  90.57116719 447.85583594 358.28466875],5.363426230836178
715806,2009,00/nm0000600_rm1004177408_1959-10-23_2009.jpg,1.0,Sam Raimi,[250.75676205 103.72337261 382.28681254 235.2534231 ],5.139901138278063
715806,2004,00/nm0000600_rm3181484032_1959-10-23_2004.jpg,1.0,Sam Raimi,[ 60.25634639 100.04057732 238.70538558 278.48961651],5.727846474287449
715806,2007,00/nm0000600_rm938777344_1959-10-23_2007.jpg,1.0,Sam Raimi,[120.15   85.974 196.512 162.336],5.486021742256286
714185,2001,00/nm0000700_rm3977812736_1955-5-16_2001.jpg,0.0,Debra Winger,[ 73.08   48.888 145.152 120.96 ],5.219180667491217
714185,2014,00/nm0000700_rm406845440_1955-5-16_2014.jpg,0.0,Debra Winger,[465.45750012 372.77560009 880.47805022 787.7961502 ],5.576232214079789
712135,1995,00/nm0000800_rm1075025920_1949-10-4_1995.jpg,1.0,Armand Assante,[ 55.53609675  82.95614512 301.62053211 329.04058049],5.17224599090673
709700,2010,00/nm0001100_rm1290713600_1943-2-3_2010.jpg,0.0,Blythe Danner,[ 261.47381132  434.4243522  1037.70324528 1210.65378617],5.152253884236093
709700,2007,00/nm0001100_rm1479383808_1943-2-3_2007.jpg,0.0,Blythe Danner,[ 66.95809194 100.15913791 215.80679881 249.00784478],6.4280834539760425
709700,2012,00/nm0001100_rm1640674304_1943-2-3_2012.jpg,0.0,Blythe Danner,[353.2467282  353.2467282  983.35643897 983.35643897],5.07891310233342
709700,2010,00/nm0001100_rm1850246144_1943-2-3_2010.jpg,0.0,Blythe Danner,[ 372.77560009  465.45750012 1204.86470031 1297.54660033],5.557312020842112
709700,1976,00/nm0001100_rm2052621568_1943-2-3_1976.jpg,0.0,Blythe Danner,[363.74769164 202.53671758 725.44938327 564.23840921],5.017983980745022
709700,2007,00/nm0001100_rm2334823936_1943-2-3_2007.jpg,0.0,Blythe Danner,[104.0327341   52.34436705 219.67555996 167.98719291],5.821212388665329
709700,2011,00/nm0001100_rm4270897920_1943-2-3_2011.jpg,0.0,Blythe Danner,[ 303.17238157  453.73457236  978.65424011 1129.2164309 ],5.006001988533907
