dob,photo_taken,full_path,gender,name,face_location,face_score
702986,2006,02/nm0000002_rm2585828096_1924-9-16_2006.jpg,0.0,Lauren Bacall,[ 70.08922574  87.46603217 225.89848365 243.27529008],5.414545418118097
702986,2006,02/nm0000002_rm800626688_1924-9-16_2006.jpg,0.0,Lauren Bacall,[ 41.89528796  83.18857593 227.11308381 268.40637177],5.272468247239644
703406,1963,09/nm0000009_rm117888000_1925-11-10_1963.jpg,1.0,Richard Burton,[1067.88985027  372.77560009 1482.91040038  787.7961502 ],5.105284339876644
713545,2003,35/nm0000035_rm1030855424_1953-8-14_2003.jpg,1.0,James Horner,[ 85.33  59.89 161.12 135.68],5.037835092027487
706642,1998,47/nm0000047_rm3937572864_1934-9-20_1998.jpg,0.0,Sophia Loren,[ 78.74948601  94.39458321 219.03136083 234.67645803],5.998217070155923
706752,1966,62/nm0000062_rm1951630592_1935-1-8_1966.jpg,1.0,Elvis Presley,[281.70760856 141.36530428 596.45479318 456.1124889 ],5.428797163792057
705706,1963,72/nm0000072_rm117888000_1932-2-27_1963.jpg,0.0,Elizabeth Taylor,[1067.88985027  372.77560009 1482.91040038  787.7961502 ],5.105284339876644
704301,2006,73/nm0000073_rm1800313344_1928-4-23_2006.jpg,0.0,Shirley Temple,[ 73.5154857  110.00722856 237.19632854 273.68807139],5.750097935911035
708819,2006,79/nm0000079_rm2792192_1940-9-5_2006.jpg,0.0,Raquel Welch,[ 39.94094837  79.34589674 216.72721603 256.1321644 ],5.303438566510957
718067,2007,84/nm0000084_rm2084739840_1965-12-31_2007.jpg,0.0,Li Gong,[ 72.48518605  84.47771706 179.88796513 191.88049614],5.431939657950468
718067,2006,84/nm0000084_rm272996864_1965-12-31_2006.jpg,0.0,Li Gong,[ 56.1007363   74.62098173 222.24294519 240.76319062],5.2831942955250675
718067,2006,84/nm0000084_rm4259486464_1965-12-31_2006.jpg,0.0,Li Gong,[ 37.31   74.046 202.048 238.784],6.324358908027444
718067,2006,84/nm0000084_rm524655104_1965-12-31_2006.jpg,0.0,Li Gong,[ 73.0288184   60.952682   181.14204599 169.06590959],5.086499511247211
718067,2002,84/nm0000084_rm596350976_1965-12-31_2002.jpg,0.0,Li Gong,[ 60.25634639  60.25634639 238.70538558 238.70538558],5.318056220595711
717323,2013,93/nm0000093_rm1124049920_1963-12-18_2013.jpg,1.0,Brad Pitt,[ 372.77560009  465.45750012 1204.86470031 1297.54660033],5.356910140785895
717323,2006,93/nm0000093_rm1134068736_1963-12-18_2006.jpg,1.0,Brad Pitt,[399.38400361 399.38400361 844.33900767 844.33900767],5.320949256971403
717323,2008,93/nm0000093_rm1296865792_1963-12-18_2008.jpg,1.0,Brad Pitt,[ 73.28416392  85.40252457 181.77540979 193.89377044],5.097816031353994
717323,2007,93/nm0000093_rm1625135872_1963-12-18_2007.jpg,1.0,Brad Pitt,[ 69.60751285  86.86489106 224.34591675 241.60329496],5.3088913140356615
