id,name
0,Fred Astaire
1,Lauren Bacall
2,Brigitte Bardot
3,John Belushi
4,Ingmar Bergman
5,Ingrid Bergman
6,Marlon Brando
7,Richard Burton
8,James Cagney
9,Bette Davis
10,Doris Day
11,Marlene Dietrich
12,Kirk Douglas
13,Federico Fellini
14,Henry Fonda
15,Clark Gable
16,Judy Garland
17,John Gielgud
18,Jerry Goldsmith
19,Cary Grant
20,Alec Guinness
21,Margaux Hemingway
22,Audrey Hepburn
23,Katharine Hepburn
24,Charlton Heston
25,Alfred Hitchcock
26,William Holden
27,James Horner
28,Buster Keaton
29,Deborah Kerr
30,Stanley Kubrick
31,Akira Kurosawa
32,Burt Lancaster
33,Bruce Lee
34,Vivien Leigh
35,Sophia Loren
36,Peter Lorre
37,James Mason
38,Marcello Mastroianni
39,Robert Mitchum
40,Marilyn Monroe
41,Paul Newman
42,David Niven
43,Maureen O'Hara
44,Laurence Olivier
45,Gregory Peck
46,Elvis Presley
47,Anthony Quinn
48,Edward G. Robinson
49,Jane Russell
50,Frank Sinatra
51,James Stewart
52,Elizabeth Taylor
53,Shirley Temple
54,Spencer Tracy
55,François Truffaut
56,John Wayne
57,Raquel Welch
58,Orson Welles
59,Natalie Wood
60,Li Gong
61,Louis de Funès
62,Armin Mueller-Stahl
63,John Cleese
64,Brad Pitt
65,Woody Allen
66,Gillian Anderson
67,Pamela Anderson
68,Jennifer Aniston
69,Patricia Arquette
70,Rowan Atkinson
71,Dan Aykroyd
72,Kevin Bacon
73,Fairuza Balk
74,Antonio Banderas
75,Adrienne Barbeau
76,Drew Barrymore
77,Kim Basinger
78,Luc Besson
79,Yasmine Bleeth
80,Kenneth Branagh
81,Matthew Broderick
82,Pierce Brosnan
83,Sandra Bullock
84,Steve Buscemi
85,Nicolas Cage
86,James Cameron
87,Neve Campbell
88,John Carpenter
89,Tia Carrere
90,Jim Carrey
91,Phoebe Cates
92,George Clooney
93,Jennifer Connelly
94,Sean Connery
95,Kevin Costner
96,Wes Craven
97,Russell Crowe
98,Tom Cruise
99,Jamie Lee Curtis
100,John Cusack
101,Claire Danes
102,Geena Davis
103,Robert De Niro
104,John Denver
105,Johnny Depp
106,Bo Derek
107,Leonardo DiCaprio
108,Cameron Diaz
109,Michael Douglas
110,David Duchovny
111,Clint Eastwood
112,Erika Eleniak
113,Cary Elwes
